RegionID,SizeRank,RegionName,RegionType,StateName,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31
394553,255,"East Stroudsburg, PA",msa,PA,8935.618800875049,8394.803661496255,8264.224607860679,8488.937563081787,8695.464736404856,9023.737118468198,9270.080758303684,9225.01092608082,9276.222273050886,9603.902102581016,9522.22322218599,9476.353677184828,9357.154013684603,9853.243147715362,9726.79357627214,9584.112356729709,9619.134820709458,9895.375391555533,9757.71624674024,9531.741140013575,9066.420419772987,8811.283681163875,8560.970370654486,8765.152361580147,8708.989457694666,7997.940306784301,7030.123950070748,7041.671853956229,8120.832209348387,9694.15607298475,11407.00468409586,12480.978478478479,14780.548573151804,14743.91781918355,15515.021975226386,14368.129052917733,15703.545965889818,16442.478010681963,16821.15648455631,16653.316117426442,16232.618516557888,16827.634083409837,16630.167671877756,16804.0703790079,18096.653307558572,17374.571023176286,17183.128884966914,15995.458287096315,19282.34351872293,19785.487523778906,20334.191819904718,18903.281793157086,18842.430080601498,18297.408125123544,18207.628763696503,18094.59372411534,17185.948096143984,14681.039095478887,12997.8906474357
394555,256,"Eau Claire, WI",msa,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21413.917306052856,25868.62745098039,25748.500482160078,23244.76370259977,18701.64621626097,15914.194911836503,14728.029569892473,14719.55485764971,13628.502299251491,12397.95624148412,12374.868952886194
395007,257,"Pueblo, CO",msa,CO,7939.527238095237,8823.438600927097,8978.329492585775,9367.937717693998,9715.661726996179,9580.82094774298,8975.21560863764,8175.132958725823,8009.3369259639,8573.260645465602,8153.905647234886,7858.94913525149,7498.04020651458,7973.1800227529575,8880.815715725295,9426.998038957621,9645.039121438358,9324.76054729584,8907.039999350636,8415.456188234217,8260.96188997596,8138.90168190742,8035.425197110603,8488.029769788614,9071.449477113223,9172.830223762163,9039.878615822481,11700.45236292432,13348.845202521466,13773.336611456178,11168.859656015366,9889.609578097336,9793.68650117426,10049.188666699103,13385.18816490699,14244.348278867103,14894.92888888889,13857.730303030303,14494.148633224904,14878.926781373053,14807.277321254629,13895.990052182498,13132.673832443206,12100.818529289094,11591.846488477255,11798.623467292457,12101.248498666568,12819.750219096677,12452.95877974866,12195.314012928555,12333.871790706333,13064.887126150854,13405.210929872768,13035.05386772588,12979.570688876584,12571.887884070704,12933.054366507451,12442.986415489742,11939.308092987556
394671,258,"Hattiesburg, MS",msa,MS,9234.560943163022,9522.128915671614,10347.921163892743,10817.059335528538,10702.074272237398,10168.632570556727,9638.173826394817,9604.598063727253,9844.446030141542,9945.918753129641,9963.029579088345,10429.697261241174,10709.564600979546,10436.561719623613,10516.917903122654,10724.174444334249,10661.972446463129,10435.934211682035,9358.15332590115,9214.794871794871,8742.21111111111,9136.993939393938,11154.340316205533,11658.510455094422,11409.30679347826,9408.994627192982,8906.661317267888,9806.690846253396,9762.450434176691,9762.128251677545,10202.761980267793,11071.461515151515,10851.74394471026,10212.168187134504,13681.707477914644,15290.21556984991,16235.318133952474,13309.21278256627,13444.096503496503,15556.86468769326,16449.862201290773,15560.733413411983,13536.280335795396,12014.859058242539,12662.368798502279,11695.906683375106,12476.914739229025,14361.468972033259,15590.15230536659,17940.375243664716,15522.420450636395,15730.87771559366,13326.90007541478,14320.654251159154,14041.812999273783,15058.5977172847,13977.856204939018,13466.182111059044,13175.113382536707
394393,259,"Bloomington, IN",msa,IN,15293.33661911483,15794.81853945306,13858.126815986652,14054.933820956072,14371.442383534173,13996.517582784056,12738.57461565155,11839.395279921368,10395.579286655375,10441.235553206485,10612.287836603837,10591.609159589794,11537.288774548479,12329.728269398716,12445.815385104312,11518.932013001962,10802.265474731785,11248.71892415212,11665.504349600184,11963.208973478722,11643.479282336533,11152.838034851622,10463.521859605911,10382.890968801314,10845.729064039408,10847.647357904523,11684.521545810572,11173.385857126495,12436.842452739716,11863.509887961502,12188.71871950272,11928.79197957598,11547.768372720913,11465.510706054245,11094.333430499611,14170.35431785196,15485.712223834866,,,19166.479094076654,16285.999209019183,14172.365070856877,14502.565056959304,15782.28793267098,17082.203816865032,17941.541879543092,15879.606581196582,14355.386296958854,13191.546402778962,18911.10702322847,21071.765114742502,21377.742110371666,17560.993623322527,15994.720046065719,15293.617859870681,14566.583695242693,14510.400866189384,14259.598808078003,13933.268960951418
395210,260,"Waterloo, IA",msa,IA,5497.738651041368,5567.2758685771,5964.21813017614,6577.753109600009,7022.81176015604,7077.773311363172,6581.0480861379465,6254.05321412811,5776.204956877493,6184.912109813561,6066.323948839562,6462.108039748652,6237.686981603027,6453.183705063054,6581.173610877959,6467.3563885474205,6380.680430359266,6238.188131365711,6515.537577224127,6580.76770467824,6541.1389951632855,6207.077737276185,6375.391006877664,6531.125905466729,6782.048138502207,6328.960344826177,6674.813831611537,6508.859763370067,7092.151393140256,7171.930841542721,7521.253758209387,7204.7587019009325,6719.768670268291,6550.484215140085,6713.160235996609,7690.526150783578,7358.105575423976,7630.293111824675,7203.201866940978,8056.04036705495,8229.90700936405,8928.440675660757,9168.57124588966,9142.20614041151,8485.469199833753,8261.698032785698,8202.976382102757,8632.82116581777,9448.958206532765,10903.108002602472,11802.283002602473,11740.62770327799,10382.018192964655,9458.938165031694,9453.677546919173,10073.769139720678,10509.183829489388,10118.495401586195,9249.244325546022
394731,261,"Kahului, HI",msa,HI,47017.735560983674,46026.4522168208,45417.10389847248,44139.622029410915,46878.331689363265,52564.06187584345,53518.77002602661,56408.357442844506,50039.41280414987,52367.625591063195,48424.566923865,52225.9804493639,50561.08520903442,52208.516651773774,50409.60832754129,47857.63709478417,47750.332999188744,43273.24357055552,43397.126445119466,42871.99466249687,50638.527864908276,55711.55780350172,61647.87629173082,62698.437239443236,62167.88644579245,56331.91381886087,48579.39153952844,38501.17249190939,33293.2606037975,30873.97289449681,34931.6584800824,38770.62260187126,41083.71196256474,40886.21983492308,41077.9255722606,42696.29127570172,50300.4135040323,46068.434149370005,69454.68824202065,84032.57059496183,95505.43642305407,83000.98350930115,80301.33508248856,80600.41627906977,81884.84367448137,88859.84860753281,100732.43725222145,104765.84155844156,114632.96562933922,111567.74214822263,119093.52623913171,96315.0403546091,94808.88539906799,83278.90653787542,84043.55912439791,83970.2728877444,86052.88192262508,83427.85954799596,81464.20861546086
394930,262,"Odessa, TX",msa,TX,19360.43489173638,20009.8855531981,15044.781499144045,13283.123931901973,12110.442406810862,12552.108348839845,12017.152960999176,13744.393776065554,12874.341214318258,13454.607779974825,11800.223032358008,10940.79172754802,11249.9048751531,10825.905084401898,13303.679112216583,12413.530809691516,12570.475563217196,10347.138904375257,10791.713970603445,10362.097270615564,10464.908329315773,9915.370943260094,9913.348179912331,10799.062914862914,10502.111088911088,10570.843532614175,10178.402883890916,10118.84431174411,10221.621416354346,9812.720299204586,9478.576615501597,8559.490590557562,8408.407729775181,8031.240394278825,7908.918007273176,7445.127477134146,7560.226006209238,8136.0591155282345,8363.49041147293,8664.91715139967,8704.432035907834,8772.058818541662,9017.471917595385,9135.149168866265,9196.674684200603,8802.07608017566,9358.165828515941,8839.217304817417,8850.084553166032,8693.112519497827,9245.363822335117,10081.312260657209,10014.792732786738,10044.567548275563,10197.146194972724,11057.904951182243,11602.93659800764,11373.55470523245,10048.252560982937
394392,263,"Blacksburg, VA",msa,VA,9855.562429340207,9567.378755870819,10770.8668635642,10701.795765263594,11195.933739808252,9974.208612589433,9190.075739422911,8275.219851046055,9043.519465329991,9838.4541144528,10443.68903508772,9366.75806010929,9410.167908594138,10181.893834520064,13102.630250066204,13583.472000907956,13308.891529527484,13293.437865837865,13086.775517718997,12048.07821132169,11346.661117304595,10807.107977207977,11100.270940170942,9508.729712858927,10073.09146996487,10893.69953693595,10949.572549443901,10941.860942488107,11994.5477473119,13472.419932339288,13433.078762402227,12221.84810417157,12610.925481359003,12910.300261829674,16641.971091000505,16725.490231990232,18320.639804639806,15107.626984126982,14051.830808080807,12151.247945557267,12254.973220282542,12301.21014431741,12058.205992115383,11574.457243211706,10150.455750412266,9823.84832069339,10886.705128205127,14933.878571428571,14169.15238095238,13812.333540372672,11623.990683229815,14003.371003499515,14039.5599005764,14480.18646699244,14513.077103039148,14113.32406781857,13164.423691878721,11560.053168462742,13438.230264833206
394351,264,"Auburn, AL",msa,AL,12037.06628846779,11553.829700012184,9954.490800377538,9541.945781822014,9850.91873795362,10611.765040394084,10150.33505140077,9726.727805539289,8896.716856634179,9248.033997076369,9616.039796610168,10311.185629943502,10029.470940677966,9682.103878949572,9653.453045616237,10421.301121703558,10804.380616596081,10074.0644783847,9234.692796868454,8573.616344924982,8812.465535941645,9687.146135036039,10454.01505150515,10327.207236795108,9742.397656618341,8381.389179981203,8383.347863454592,7983.661314677148,8719.73627261995,8191.802278587555,7956.616689369949,8059.278811992638,8608.25219431556,8247.5414585361,11004.79706802909,10829.65108521396,13329.229516586509,11648.130474440914,13714.010977585569,13628.47928271584,15228.796161118744,13555.463779109336,11781.491835410236,9581.75834258727,11008.27425804436,11901.712448812448,12512.88401554359,12434.806475436637,14698.323131627714,16303.08975814986,17743.315025529537,17071.0844053745,17044.628535353535,15456.835098650052,13613.308216929623,11397.014524364879,10430.16216803161,8961.5312483336,9527.623019818386
